기준년월,기초지자체,방문자 구분,방문자 수
2018,강릉시,외지인방문자(b),3.1244031E7
2018,강릉시,전체방문자(a+b),8.4182021E7
2018,강릉시,현지인방문자(a),5.293799E7
2019,강릉시,외지인방문자(b),3.213792E7
2019,강릉시,전체방문자(a+b),8.3168288E7
2019,강릉시,현지인방문자(a),5.1030368E7
2020,강릉시,외지인방문자(b),3.121363E7
2020,강릉시,전체방문자(a+b),8.8101856E7
2020,강릉시,현지인방문자(a),5.6888226E7
2021,강릉시,외지인방문자(b),3.0439048E7
2021,강릉시,전체방문자(a+b),9.4234707E7
2021,강릉시,현지인방문자(a),6.3795658E7
2022,강릉시,외지인방문자(b),3.5738924E7
2022,강릉시,전체방문자(a+b),9.6858734E7
2022,강릉시,현지인방문자(a),6.111981E7
2023,강릉시,외지인방문자(b),3.4210099E7
2023,강릉시,전체방문자(a+b),1.00354107E8
2023,강릉시,현지인방문자(a),6.6144008E7
2024,강릉시,외지인방문자(b),3.323334E7
2024,강릉시,전체방문자(a+b),1.01457696E8
2024,강릉시,현지인방문자(a),6.8224356E7
2025,강릉시,외지인방문자(b),3.4369052E7
2025,강릉시,전체방문자(a+b),1.04463065E8
2025,강릉시,현지인방문자(a),7.0094014E7
