기준년월,기초지자체,방문자 구분,방문자 수
2018,수원시,외지인방문자(b),1.5531599E8
2018,수원시,전체방문자(a+b),3.23526262E8
2018,수원시,현지인방문자(a),1.68210273E8
2019,수원시,외지인방문자(b),1.69955334E8
2019,수원시,전체방문자(a+b),3.4292847E8
2019,수원시,현지인방문자(a),1.72973136E8
2020,수원시,외지인방문자(b),1.48805146E8
2020,수원시,전체방문자(a+b),3.3232613E8
2020,수원시,현지인방문자(a),1.83520984E8
2021,수원시,외지인방문자(b),1.52560366E8
2021,수원시,전체방문자(a+b),3.49856178E8
2021,수원시,현지인방문자(a),1.97295812E8
2022,수원시,외지인방문자(b),1.66874362E8
2022,수원시,전체방문자(a+b),3.77047034E8
2022,수원시,현지인방문자(a),2.10172672E8
2023,수원시,외지인방문자(b),1.76525996E8
2023,수원시,전체방문자(a+b),3.8994081E8
2023,수원시,현지인방문자(a),2.13414814E8
2024,수원시,외지인방문자(b),1.86751684E8
2024,수원시,전체방문자(a+b),3.96609262E8
2024,수원시,현지인방문자(a),2.09857578E8
2025,수원시,외지인방문자(b),1.97404756E8
2025,수원시,전체방문자(a+b),4.18515097E8
2025,수원시,현지인방문자(a),2.2111034E8
