기초지자체,방문자 수
수원시,1.354193634E9
성남시,1.114647457E9
의정부시,3.32794273E8
안양시,5.27146438E8
부천시,6.35138066E8
광명시,3.15989793E8
평택시,3.59000957E8
동두천시,7.6039075E7
안산시,5.8532461E8
고양시,1.076303148E9
과천시,1.54797156E8
구리시,3.51258929E8
남양주시,5.49436706E8
오산시,2.16622777E8
시흥시,4.19820639E8
군포시,2.02127978E8
의왕시,2.15969887E8
하남시,4.20956725E8
용인시,1.011231616E9
파주시,4.03872203E8
이천시,2.96030861E8
안성시,2.72952288E8
김포시,3.95831062E8
화성시,7.49005058E8
광주시,3.68770972E8
양주시,2.5359151E8
포천시,2.20316873E8
여주시,2.03577924E8
연천군,6.7882552E7
가평군,2.05657756E8
양평군,2.44873741E8
