기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
고등동,1.6046163E7,0.9
곡선동,3.1528679E7,1.7
광교1동,7.0803894E7,3.9
광교2동,3.4167812E7,1.9
구운동,3.613106E7,2.0
권선1동,9.0250678E7,4.9
권선2동,2.408784E7,1.3
금곡동,3.5916892E7,2.0
망포1동,2.184197E7,1.2
망포2동,1.209747E7,0.7
매교동,1.940497E7,1.1
매산동,1.22410533E8,6.7
매탄1동,1.039297E7,0.6
매탄2동,1.06929704E8,5.8
매탄3동,5.4715314E7,3.0
매탄4동,6985836.0,0.4
서둔동,6.3502716E7,3.5
세류1동,4842170.0,0.3
세류2동,1.595195E7,0.9
세류3동,1.1059615E7,0.6
송죽동,1.5703443E7,0.9
연무동,3.965844E7,2.2
영통1동,1.6297676E7,0.9
영통2동,3.1533008E7,1.7
영통3동,5.7369092E7,3.1
영화동,8.1525591E7,4.4
우만1동,4.3101982E7,2.4
우만2동,3.6445864E7,2.0
원천동,8.6260027E7,4.7
율천동,5.341896E7,2.9
인계동,1.95239846E8,10.6
입북동,8326098.0,0.5
정자1동,1.4649159E7,0.8
정자2동,2.1003493E7,1.1
정자3동,2.6853222E7,1.5
조원1동,4.2403522E7,2.3
조원2동,1.8156138E7,1.0
지동,1.5991017E7,0.9
태장동,7983188.0,0.4
파장동,4.1247605E7,2.2
평동,4.168899E7,2.3
행궁동,8.1839356E7,4.5
호매실동,1.118398E7,0.6
화서1동,1.927799E7,1.1
화서2동,3.7587554E7,2.0
