기준년월,기초지자체,방문자 구분,방문자 수
2018,안성시,외지인방문자(b),3.1025956E7
2018,안성시,전체방문자(a+b),6.4354332E7
2018,안성시,현지인방문자(a),3.3328376E7
2019,안성시,외지인방문자(b),3.1043834E7
2019,안성시,전체방문자(a+b),6.4193182E7
2019,안성시,현지인방문자(a),3.3149347E7
2020,안성시,외지인방문자(b),3.2137217E7
2020,안성시,전체방문자(a+b),6.8540465E7
2020,안성시,현지인방문자(a),3.6403248E7
2021,안성시,외지인방문자(b),3.4713E7
2021,안성시,전체방문자(a+b),7.468021E7
2021,안성시,현지인방문자(a),3.996721E7
2022,안성시,외지인방문자(b),3.711218E7
2022,안성시,전체방문자(a+b),8.1071599E7
2022,안성시,현지인방문자(a),4.3959419E7
2023,안성시,외지인방문자(b),3.5788431E7
2023,안성시,전체방문자(a+b),7.9405977E7
2023,안성시,현지인방문자(a),4.3617546E7
2024,안성시,외지인방문자(b),3.451524E7
2024,안성시,전체방문자(a+b),7.9671662E7
2024,안성시,현지인방문자(a),4.5156422E7
2025,안성시,외지인방문자(b),3.661643E7
2025,안성시,전체방문자(a+b),8.2984041E7
2025,안성시,현지인방문자(a),4.6367612E7
