기준년월,기초지자체,방문자 구분,방문자 수
2018,시흥시,외지인방문자(b),4.8450356E7
2018,시흥시,전체방문자(a+b),1.0286445E8
2018,시흥시,현지인방문자(a),5.4414094E7
2019,시흥시,외지인방문자(b),5.1582153E7
2019,시흥시,전체방문자(a+b),1.07085839E8
2019,시흥시,현지인방문자(a),5.5503686E7
2020,시흥시,외지인방문자(b),5.0713464E7
2020,시흥시,전체방문자(a+b),1.13328324E8
2020,시흥시,현지인방문자(a),6.261486E7
2021,시흥시,외지인방문자(b),5.2060984E7
2021,시흥시,전체방문자(a+b),1.23824782E8
2021,시흥시,현지인방문자(a),7.1763797E7
2022,시흥시,외지인방문자(b),5.303684E7
2022,시흥시,전체방문자(a+b),1.33945896E8
2022,시흥시,현지인방문자(a),8.0909056E7
2023,시흥시,외지인방문자(b),5.3104398E7
2023,시흥시,전체방문자(a+b),1.35780312E8
2023,시흥시,현지인방문자(a),8.2675915E7
2024,시흥시,외지인방문자(b),5.4374215E7
2024,시흥시,전체방문자(a+b),1.33488638E8
2024,시흥시,현지인방문자(a),7.9114424E7
2025,시흥시,외지인방문자(b),5.6498228E7
2025,시흥시,전체방문자(a+b),1.40210434E8
2025,시흥시,현지인방문자(a),8.3712206E7
