기준년월,기초지자체,방문자 구분,방문자 수
2018,밀양시,외지인방문자(b),1.138067E7
2018,밀양시,전체방문자(a+b),2.9311464E7
2018,밀양시,현지인방문자(a),1.7930794E7
2019,밀양시,외지인방문자(b),1.2142305E7
2019,밀양시,전체방문자(a+b),3.0247962E7
2019,밀양시,현지인방문자(a),1.8105658E7
2020,밀양시,외지인방문자(b),1.3004534E7
2020,밀양시,전체방문자(a+b),3.2284452E7
2020,밀양시,현지인방문자(a),1.9279918E7
2021,밀양시,외지인방문자(b),1.4204606E7
2021,밀양시,전체방문자(a+b),3.4843879E7
2021,밀양시,현지인방문자(a),2.0639272E7
2022,밀양시,외지인방문자(b),1.5074185E7
2022,밀양시,전체방문자(a+b),3.710505E7
2022,밀양시,현지인방문자(a),2.2030866E7
2023,밀양시,외지인방문자(b),1.5103218E7
2023,밀양시,전체방문자(a+b),3.8290518E7
2023,밀양시,현지인방문자(a),2.31873E7
2024,밀양시,외지인방문자(b),1.5237348E7
2024,밀양시,전체방문자(a+b),3.8807268E7
2024,밀양시,현지인방문자(a),2.356992E7
2025,밀양시,외지인방문자(b),1.6012308E7
2025,밀양시,전체방문자(a+b),4.038552E7
2025,밀양시,현지인방문자(a),2.4373212E7
