기준년월,기초지자체,방문자 구분,방문자 수
2018,목포시,외지인방문자(b),2.235507E7
2018,목포시,전체방문자(a+b),7.677769E7
2018,목포시,현지인방문자(a),5.442262E7
2019,목포시,외지인방문자(b),2.3609856E7
2019,목포시,전체방문자(a+b),7.8054588E7
2019,목포시,현지인방문자(a),5.4444733E7
2020,목포시,외지인방문자(b),2.1274212E7
2020,목포시,전체방문자(a+b),7.404599E7
2020,목포시,현지인방문자(a),5.2771778E7
2021,목포시,외지인방문자(b),2.260194E7
2021,목포시,전체방문자(a+b),8.2407059E7
2021,목포시,현지인방문자(a),5.980512E7
2022,목포시,외지인방문자(b),2.5398748E7
2022,목포시,전체방문자(a+b),8.5393056E7
2022,목포시,현지인방문자(a),5.9994308E7
2023,목포시,외지인방문자(b),2.644789E7
2023,목포시,전체방문자(a+b),9.0598893E7
2023,목포시,현지인방문자(a),6.4151003E7
2024,목포시,외지인방문자(b),2.7081534E7
2024,목포시,전체방문자(a+b),9.2559912E7
2024,목포시,현지인방문자(a),6.5478378E7
2025,목포시,외지인방문자(b),2.828973E7
2025,목포시,전체방문자(a+b),9.2695526E7
2025,목포시,현지인방문자(a),6.4405796E7
