기준년월,기초지자체,방문자 구분,방문자 수
2018,포항시,외지인방문자(b),4.9007126E7
2018,포항시,전체방문자(a+b),1.42107126E8
2018,포항시,현지인방문자(a),9.31E7
2019,포항시,외지인방문자(b),5.0961334E7
2019,포항시,전체방문자(a+b),1.46832623E8
2019,포항시,현지인방문자(a),9.587129E7
2020,포항시,외지인방문자(b),4.7456048E7
2020,포항시,전체방문자(a+b),1.42855716E8
2020,포항시,현지인방문자(a),9.5399668E7
2021,포항시,외지인방문자(b),4.8867336E7
2021,포항시,전체방문자(a+b),1.50723412E8
2021,포항시,현지인방문자(a),1.01856076E8
2022,포항시,외지인방문자(b),5.2692524E7
2022,포항시,전체방문자(a+b),1.56348076E8
2022,포항시,현지인방문자(a),1.03655552E8
2023,포항시,외지인방문자(b),5.4741813E7
2023,포항시,전체방문자(a+b),1.62416569E8
2023,포항시,현지인방문자(a),1.07674756E8
2024,포항시,외지인방문자(b),5.4589472E7
2024,포항시,전체방문자(a+b),1.60176818E8
2024,포항시,현지인방문자(a),1.05587346E8
2025,포항시,외지인방문자(b),5.6746921E7
2025,포항시,전체방문자(a+b),1.65127826E8
2025,포항시,현지인방문자(a),1.08380906E8
