기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
구룡포읍,2.2841542E7,3.8
기계면,7527860.0,1.3
기북면,1488406.0,0.2
대송면,6767012.0,1.1
대이동,4.5155932E7,7.6
동해면,9976320.0,1.7
두호동,3.1845751E7,5.3
상대동,3.4571845E7,5.8
송도동,2.7132539E7,4.6
송라면,1.6269624E7,2.7
신광면,2896352.0,0.5
양학동,5874197.0,1.0
연일읍,2.0068811E7,3.4
오천읍,3.1850346E7,5.3
용흥동,1.1273738E7,1.9
우창동,1.6422021E7,2.8
장기면,8929498.0,1.5
장량동,4.1200694E7,6.9
제철동,1.4184226E7,2.4
죽도동,5.8293932E7,9.8
죽장면,4512994.0,0.8
중앙동,4.2252564E7,7.1
청림동,1.0439065E7,1.8
청하면,1.3189561E7,2.2
해도동,1.7406571E7,2.9
호미곶면,1.5806948E7,2.7
환여동,1.1843349E7,2.0
효곡동,1.930425E7,3.2
흥해읍,4.6088228E7,7.7
