기준년월,기초지자체,방문자 구분,방문자 수
2018,중구,외지인방문자(b),7.2231537E7
2018,중구,전체방문자(a+b),9.5841032E7
2018,중구,현지인방문자(a),2.3609495E7
2019,중구,외지인방문자(b),7.1891634E7
2019,중구,전체방문자(a+b),9.5773884E7
2019,중구,현지인방문자(a),2.388225E7
2020,중구,외지인방문자(b),5.3600782E7
2020,중구,전체방문자(a+b),7.4777899E7
2020,중구,현지인방문자(a),2.1177118E7
2021,중구,외지인방문자(b),5.5329575E7
2021,중구,전체방문자(a+b),7.740621E7
2021,중구,현지인방문자(a),2.2076635E7
2022,중구,외지인방문자(b),6.006456E7
2022,중구,전체방문자(a+b),8.3250608E7
2022,중구,현지인방문자(a),2.3186048E7
2023,중구,외지인방문자(b),6.4253112E7
2023,중구,전체방문자(a+b),9.0205272E7
2023,중구,현지인방문자(a),2.595216E7
2024,중구,외지인방문자(b),6.5750276E7
2024,중구,전체방문자(a+b),9.3817899E7
2024,중구,현지인방문자(a),2.8067624E7
2025,중구,외지인방문자(b),6.9024662E7
2025,중구,전체방문자(a+b),9.952089E7
2025,중구,현지인방문자(a),3.0496228E7
