기준년월,기초지자체,방문자 구분,방문자 수
2018,수영구,외지인방문자(b),3.431435E7
2018,수영구,전체방문자(a+b),6.2882519E7
2018,수영구,현지인방문자(a),2.8568169E7
2019,수영구,외지인방문자(b),3.4416788E7
2019,수영구,전체방문자(a+b),6.3404656E7
2019,수영구,현지인방문자(a),2.8987868E7
2020,수영구,외지인방문자(b),3.1844323E7
2020,수영구,전체방문자(a+b),6.2451442E7
2020,수영구,현지인방문자(a),3.0607118E7
2021,수영구,외지인방문자(b),3.229127E7
2021,수영구,전체방문자(a+b),6.3379904E7
2021,수영구,현지인방문자(a),3.1088634E7
2022,수영구,외지인방문자(b),3.6961858E7
2022,수영구,전체방문자(a+b),7.0807996E7
2022,수영구,현지인방문자(a),3.3846138E7
2023,수영구,외지인방문자(b),3.7754664E7
2023,수영구,전체방문자(a+b),7.2079186E7
2023,수영구,현지인방문자(a),3.4324521E7
2024,수영구,외지인방문자(b),3.8222387E7
2024,수영구,전체방문자(a+b),7.0507199E7
2024,수영구,현지인방문자(a),3.2284812E7
2025,수영구,외지인방문자(b),4.1449362E7
2025,수영구,전체방문자(a+b),7.7012296E7
2025,수영구,현지인방문자(a),3.5562933E7
